order_id,order_date,region,segment,category,product,units,unit_price,discount,revenue,cost,profit
10000,2024-01-01,North,Consumer,Office Supplies,Pen,2,1.79,0.05,3.41,2.26,1.14
10001,2024-01-01,South,Corporate,Technology,Laptop,3,770.56,0.035,2229.96,1835.43,394.53
10002,2024-01-01,North,Small Business,Technology,Laptop,1,814.09,0.031,788.98,518.32,270.66
10003,2024-01-01,North,Corporate,Technology,Headphones,1,78.37,0.0,78.37,51.58,26.78
10004,2024-01-01,North,Corporate,Office Supplies,Calendar,1,9.38,0.026,9.13,6.31,2.82
10005,2024-01-01,West,Corporate,Furniture,Cabinet,3,181.98,0.015,537.49,383.71,153.77
10006,2024-01-01,East,Consumer,Technology,Monitor,1,206.45,0.022,201.87,130.91,70.95
10007,2024-01-01,East,Home Office,Technology,Mouse,1,21.11,0.014,20.81,14.52,6.29
10008,2024-01-01,East,Consumer,Technology,Monitor,1,172.06,0.0,172.06,134.53,37.53
10009,2024-01-01,North,Home Office,Furniture,Cabinet,2,188.7,0.0,377.41,265.7,111.71
10010,2024-01-01,East,Consumer,Office Supplies,Stapler,1,9.13,0.024,8.91,6.89,2.02
10011,2024-01-01,North,Small Business,Technology,Headphones,2,70.12,0.023,136.96,89.65,47.32
10012,2024-01-01,East,Home Office,Office Supplies,Binder,1,5.8,0.014,5.72,3.79,1.92
10013,2024-01-01,North,Consumer,Office Supplies,Binder,1,5.61,0.041,5.38,3.97,1.4
10014,2024-01-01,East,Consumer,Technology,Laptop,1,785.13,0.012,775.47,626.04,149.43
10015,2024-01-01,West,Home Office,Furniture,Bookcase,1,127.75,0.032,123.63,97.48,26.15
10016,2024-01-01,South,Home Office,Furniture,Desk,2,324.41,0.039,623.77,398.91,224.86
10017,2024-01-01,East,Consumer,Office Supplies,Binder,1,6.65,0.014,6.56,4.82,1.74
10018,2024-01-01,South,Corporate,Furniture,Table,1,235.82,0.016,231.98,156.83,75.15
10019,2024-01-01,East,Corporate,Office Supplies,Pen,2,2.23,0.047,4.25,3.1,1.15
10020,2024-01-01,North,Corporate,Technology,Keyboard,1,32.35,0.007,32.12,23.04,9.08
10021,2024-01-01,West,Home Office,Technology,Mouse,1,20.14,0.051,19.1,13.8,5.3
10022,2024-01-01,East,Corporate,Office Supplies,Stapler,1,7.55,0.014,7.45,5.3,2.15
10023,2024-01-01,West,Small Business,Technology,Keyboard,1,29.19,0.027,28.4,21.93,6.47
10024,2024-01-01,South,Corporate,Office Supplies,Calendar,1,11.29,0.01,11.18,8.6,2.58
10025,2024-01-01,East,Small Business,Office Supplies,Stapler,2,8.73,0.027,16.99,11.13,5.87
10026,2024-01-01,East,Corporate,Technology,Headphones,1,87.38,0.039,83.94,68.09,15.85
10027,2024-01-01,West,Consumer,Technology,Laptop,1,826.54,0.013,815.43,566.53,248.9
10028,2024-01-02,South,Corporate,Office Supplies,Stapler,1,9.06,0.004,9.03,6.02,3.0
10029,2024-01-02,North,Small Business,Furniture,Cabinet,4,191.82,0.023,749.25,609.49,139.76
10030,2024-01-02,West,Home Office,Office Supplies,Paper,1,4.68,0.019,4.59,2.84,1.75
10031,2024-01-02,North,Home Office,Office Supplies,Pen,1,1.73,0.069,1.61,1.13,0.48
10032,2024-01-02,North,Home Office,Furniture,Desk,1,268.04,0.026,261.06,187.06,74.0
10033,2024-01-02,West,Consumer,Office Supplies,Pen,2,1.84,0.035,3.56,2.75,0.81
10034,2024-01-02,South,Consumer,Office Supplies,Pen,3,2.08,0.0,6.24,4.41,1.83
10035,2024-01-02,South,Corporate,Furniture,Desk,1,258.67,0.009,256.43,185.77,70.65
10036,2024-01-02,North,Home Office,Furniture,Chair,1,125.23,0.021,122.55,79.5,43.05
10037,2024-01-02,North,Home Office,Furniture,Desk,1,339.31,0.051,322.0,212.92,109.09
